	louvain
1886	2
1887	3
1888	1
1889	0
1890	0
1891	2
1892	0
1893	5
1894	0
1895	5
1896	3
1897	0
1898	0
1899	0
1900	1
1901	2
1902	0
1903	0
1904	2
1905	1
1906	2
1907	5
1908	2
1909	2
1910	0
1911	6
1912	1
1913	3
1914	0
1915	3
1916	0
1917	0
1918	2
1919	0
1920	1
1921	1
1922	2
1923	1
1924	0
1925	4
1926	0
1927	3
1928	0
1929	1
1930	0
1931	0
1932	3
1933	0
1934	0
1935	1
1936	1
1937	1
1938	7
1939	4
1940	0
1941	3
1942	0
1943	1
1944	0
1945	2
1946	3
1947	0
1948	4
1949	1
1950	0
1951	0
1952	0
1953	0
1954	1
1955	6
1956	2
1957	1
1958	0
1959	2
1960	4
1961	0
1962	5
1963	4
1964	1
1965	3
1966	1
1967	0
1968	1
1969	4
1970	0
1971	2
1972	1
1973	1
1974	2
1975	1
1976	2
1977	0
1978	0
1979	2
1980	2
1981	1
1982	4
1983	2
1984	1
1985	0
1986	3
1987	1
1988	5
1989	1
1990	4
1991	2
1992	8
1993	0
1994	2
1995	1
1996	1
1997	2
1998	1
1999	2
2000	4
2001	0
2002	2
2003	8
2004	0
2005	0
2006	1
2007	1
2008	0
2009	2
2010	2
2011	0
2012	1
2013	3
2014	5
2015	0
2016	1
2017	8
2018	1
2019	0
2020	2
2021	1
2022	1
2023	4
2024	1
2025	6
2026	7
2027	1
2028	1
2029	1
2030	2
2031	0
2032	2
2033	5
2034	1
2035	1
2036	7
2037	1
2038	1
2039	1
2040	1
2041	0
2042	1
2043	1
2044	3
2045	1
2046	3
2047	7
2048	4
2049	4
2050	2
2051	1
2052	2
2053	1
2054	2
2055	0
2056	4
2057	0
2058	6
2059	6
2060	0
2061	2
2062	0
2063	0
2064	5
2065	0
2066	0
2067	0
2068	1
2069	3
2070	4
2071	2
2072	1
2073	0
2074	2
2075	1
2076	0
2077	3
2078	2
2079	1
2080	0
2081	1
2082	7
2083	6
2084	2
2085	2
2086	1
2087	1
2088	0
2089	3
2090	1
2091	3
2092	3
2093	1
2094	1
2095	0
2096	5
2097	1
2098	0
2099	0
2100	0
2101	6
2102	1
2103	1
2104	2
2105	3
2106	1
2107	0
2108	0
2109	1
2110	1
2111	0
2112	3
2113	1
2114	4
2115	1
2116	0
2117	2
2118	1
2119	2
2120	0
2121	2
2122	0
2123	2
2124	1
2125	5
2126	3
2127	1
2128	0
2129	3
2130	3
2131	6
2132	0
2133	0
2134	2
2135	3
2136	0
2137	2
2138	2
2139	2
2140	2
2141	1
2142	3
2143	3
2144	0
2145	0
2146	3
2147	7
2148	0
2149	2
2150	3
2151	0
2152	8
2153	1
2154	1
2155	1
2156	0
2157	6
2158	0
2159	2
2160	4
2161	0
2162	1
2163	0
2164	5
2165	0
2166	1
2167	2
2168	1
2169	3
2170	2
2171	5
2172	3
2173	3
2174	0
2175	4
2176	2
2177	1
2178	4
2179	2
2180	4
2181	2
2182	1
2183	6
2184	3
2185	2
2186	0
2187	2
2188	1
2189	1
2190	5
2191	0
2192	0
2193	0
2194	2
2195	2
2196	4
2197	3
2198	3
2199	2
2200	0
2201	1
2202	0
2203	2
2204	0
2205	1
2206	1
2207	1
2208	2
2209	0
2210	2
2211	0
2212	1
2213	0
2214	4
2215	1
2216	7
2217	1
2218	0
2219	1
2220	0
2221	1
2222	1
2223	0
2224	0
2225	5
2226	3
2227	4
2228	1
2229	2
2230	1
2231	1
2232	4
2233	4
2234	4
2235	1
2236	3
2237	1
2238	2
2239	1
2240	0
2241	2
2242	0
2243	6
2244	3
2245	0
2246	1
2247	2
2248	3
2249	3
2250	0
2251	7
2252	0
2253	1
2254	0
2255	1
2256	2
2257	0
2258	4
2259	4
2260	4
2261	1
2262	1
2263	1
2264	0
2265	0
2266	3
2267	2
2268	0
2269	2
2270	1
2271	1
2272	1
2273	1
2274	2
2275	1
2276	5
2277	5
2278	0
2279	1
2280	1
2281	2
2282	6
2283	2
2284	0
2285	2
2286	0
2287	0
2288	0
2289	0
2290	1
2291	4
2292	0
2293	0
2294	3
2295	2
2296	1
2297	2
2298	1
2299	0
2300	6
2301	1
2302	0
2303	1
2304	0
2305	0
2306	1
2307	1
2308	0
2309	0
2310	0
2311	8
2312	5
2313	6
2314	1
2315	0
2316	0
2317	3
2318	4
2319	6
2320	0
2321	1
2322	0
2323	5
2324	2
2325	0
2326	1
2327	3
2328	0
2329	0
2330	2
2331	0
2332	2
2333	0
2334	4
2335	1
2336	6
2337	1
2338	7
2339	1
2340	0
2341	3
2342	2
2343	6
2344	3
2345	3
2346	1
2347	0
2348	3
2349	0
2350	3
2351	0
2352	0
2353	0
2354	8
2355	0
2356	0
2357	4
2358	3
2359	1
2360	4
2361	6
2362	4
2363	2
2364	1
2365	0
2366	4
2367	0
2368	0
2369	3
2370	0
2371	2
2372	2
2373	3
2374	1
2375	1
2376	1
2377	6
2378	0
2379	6
2380	1
2381	0
2382	3
2383	0
2384	0
2385	0
2386	4
2387	4
2388	3
2389	0
2390	0
2391	0
2392	1
2393	0
2394	6
2395	0
2396	0
2397	0
2398	1
2399	1
2400	0
2401	4
2402	0
2403	1
2404	0
2405	3
2406	2
2407	1
2408	1
2409	0
2410	2
2411	3
2412	0
2413	6
2414	0
2415	0
2416	1
2417	0
2418	1
2419	3
2420	8
2421	0
2422	7
2423	0
2424	0
2425	0
2426	4
2427	1
2428	3
2429	1
2430	0
2431	1
2432	1
2433	1
2434	0
2435	1
2436	1
2437	2
2438	3
2439	5
2440	2
2441	5
2442	0
2443	3
2444	1
2445	0
2446	3
2447	2
2448	3
2449	6
2450	1
2451	0
2452	0
2453	3
2454	4
2455	0
2456	6
2457	3
2458	3
2459	4
2460	5
2461	6
2462	0
2463	0
2464	1
2465	2
2466	1
2467	4
2468	0
2469	1
2470	4
2471	0
2472	0
2473	4
2474	4
2475	0
2476	0
2477	3
2478	3
2479	0
2480	0
2481	1
2482	0
2483	6
2484	4
2485	1
2486	4
2487	4
2488	5
2489	3
2490	6
2491	0
2492	1
2493	6
2494	1
2495	0
2496	4
2497	4
2498	1
2499	2
2500	5
2501	1
2502	1
2503	1
2504	4
2505	1
2506	1
2507	1
2508	2
2509	1
2510	2
2511	1
2512	2
2513	1
2514	1
2515	1
2516	2
2517	4
2518	2
2519	1
2520	2
2521	0
2522	1
2523	0
2524	0
2525	2
2526	0
2527	1
2528	0
2529	6
2530	3
2531	2
2532	1
2533	0
2534	2
2535	1
2536	3
2537	2
2538	4
2539	0
2540	5
2541	2
2542	3
2543	3
2544	2
2545	0
2546	2
2547	2
2548	1
2549	1
2550	1
2551	7
2552	1
2553	1
2554	1
2555	0
2556	1
2557	3
2558	4
2559	1
2560	2
2561	0
2562	0
2563	0
2564	0
2565	4
2566	1
2567	4
2568	1
2569	0
2570	1
2571	2
2572	1
2573	2
2574	2
2575	1
2576	0
2577	3
2578	2
2579	3
2580	2
2581	1
2582	0
2583	0
2584	4
2585	1
2586	0
2587	1
2588	6
2589	1
2590	0
2591	0
2592	0
2593	3
2594	1
2595	8
2596	0
2597	5
2598	1
2599	0
2600	2
2601	8
2602	1
2603	5
2604	0
2605	3
2606	2
2607	1
2608	0
2609	0
2610	4
2611	1
2612	0
2613	5
2614	0
2615	3
2616	3
2617	4
2618	5
2619	0
2620	1
2621	2
2622	0
2623	1
2624	0
2625	0
2626	0
2627	0
2628	0
2629	7
2630	2
2631	0
2632	4
2633	1
2634	0
2635	0
2636	0
2637	4
2638	2
2639	6
2640	3
2641	3
2642	1
2643	0
2644	3
2645	1
2646	1
2647	0
2648	2
2649	7
2650	2
2651	0
2652	1
2653	1
2654	3
2655	0
2656	2
2657	0
2658	0
2659	7
2660	0
2661	0
2662	3
2663	1
2664	6
2665	1
2666	3
2667	2
2668	1
2669	4
2670	5
2671	2
2672	0
2673	1
2674	0
2675	0
2676	4
2677	0
2678	1
2679	1
2680	1
2681	4
2682	1
2683	3
2684	2
2685	1
2686	1
2687	1
2688	0
2689	0
2690	1
2691	5
2692	7
2693	2
2694	1
2695	1
2696	0
2697	2
2698	1
2699	1
2700	0
2701	0
2702	0
2703	0
2704	3
2705	1
2706	1
2707	0
2708	4
2709	0
2710	3
2711	0
2712	3
2713	4
